expression,conc,n_words
.22 caliber,0.7749999999999999,2
.38 caliber,0.8181818181818181,2
‘tis the season,0.2870370370370371,3
1 kgs,0.8999999999999999,2
1 samuel,0.5227272727272727,2
10-undecenoic acid,0.7045454545454544,2
15 minutes of fame,0.32499999999999996,4
18-karat gold,0.7727272727272727,2
1st class,0.375,2
1st-class mail,0.590909090909091,2
20/20 vision,0.6363636363636364,2
22-karat gold,0.8,2
30 minutes,0.55,2
365 days,0.675,2
3D printer,0.9318181818181821,2
3D scanner,0.8500000000000001,2
4-H Club,0.725,2
8 ball,0.925,2
8 ball pool,0.875,3
800 number,0.7045454545454544,2
a bad break,0.4772727272727273,3
a bad hair day,0.5,4
a bad penny always turns up,0.32499999999999996,6
a bad workman always blames his tools,0.16666666666666669,7
a bad workman blames his tools,0.15909090909090912,6
a barking dog never bites,0.07500000000000001,5
a battery,0.8,2
a big ask,0.22727272727272718,3
a big deal,0.35,3
a big spender,0.2,3
a bigger bang for your buck,0.25,6
a bird in the hand is worth two in the bush,0.09999999999999998,11
a bit,0.15000000000000002,2
a bit much,0.375,3
a bit of,0.43181818181818177,3
a bit of a,0.20454545454545447,4
a bite to eat,0.575,4
a bitter pill to swallow,0.2,5
a blessing in disguise,0.4,4
a blot on the landscape,0.44999999999999996,5
a blowhard,0.4,2
a bold face,0.575,3
a bolt from the blue,0.38636363636363635,5
a bolt out of the blue,0.2,6
a bone of contention,0.32499999999999996,4
a bone to pick,0.35,4
a brave face,0.32499999999999996,3
a bull and cow,0.9090909090909092,4
a bullseye on someone's back,0.13636363636363635,5
a bully is always a coward,0.175,6
a bunch,0.6818181818181818,2
a bunch of baloney,0.35,4
a bunch of fives,0.40909090909090895,4
a bundle of nerves,0.3214285714285714,4
a burnt child dread the fire,0.30000000000000004,6
a burnt child dreads the fire,0.22499999999999998,6
a bushel and a peck,0.4285714285714286,5
a busman's holiday,0.22499999999999998,3
a capella,0.6818181818181818,2
a cappella,0.18876262626262627,2
a cappella singing,0.590909090909091,3
a card carrying member,0.5,4
a card up your sleeve,0.09999999999999998,5
a case of,0.5,3
a case of mistaken identity,0.55,5
a cash cow,0.30000000000000004,3
a cast-iron stomach,0.20833333333333331,3
a cat has nine lives,0.30000000000000004,5
a cat in gloves catches no mice,0.04999999999999999,7
a cat in hell's chance,0.125,5
a cat may look at a king,0.2,7
a cat-and-dog life,0.07500000000000001,3
a cat's lick,0.2727272727272727,3
a chain is only as strong as its weakest link,0.2,10
a change is as good as a rest,0.18181818181818182,8
a checkered career,0.40909090909090895,3
a chicken in every pot,0.2,5
a chin wag,0.44999999999999996,3
a chip off the old block,0.13636363636363635,6
a chip on your shoulder,0.09999999999999998,5
a cold day in hell,0.09999999999999998,5
a cold fish,0.7727272727272727,3
a come on,0.375,3
a countenance more in sorrow than in anger,0.30000000000000004,8
a couple,0.8500000000000001,2
a couple of,0.44999999999999996,3
a credit to,0.44999999999999996,3
a curate's egg,0.42500000000000004,3
a cut above,0.32499999999999996,3
a daniel come to judgement,0.32499999999999996,5
a day late and a dollar short,0.36363636363636365,7
a degree of,0.36363636363636365,3
à deux,0.55,2
a diamond in the rough,0.18181818181818182,5
a diamond is forever,0.15909090909090912,4
a dicey situation,0.22727272727272718,3
a different kettle of fish,0.31818181818181823,5
a dime a dozen,0.25,4
a dish fit for the gods,0.22499999999999998,6
a doddle,0.42500000000000004,2
a dog and pony show,0.31818181818181823,5
a dog is a man's best friend,0.375,7
a dog's breakfast,0.5,3
a dog's life,0.5227272727272727,3
a dose of your own medicine,0.175,6
a doubting thomas,0.2,3
a drive,0.5,2
a drop in the bucket,0.44999999999999996,5
a drop in the ocean,0.32499999999999996,5
a drowning man will clutch at a straw,0.2,8
a dry run,0.32499999999999996,3
a fair shake,0.2727272727272727,3
a far cry from,0.09999999999999998,4
a fat cat,0.6818181818181818,3
a fate worse than death,0.07500000000000001,5
a feather in one's cap,0.25,5
a feather in your cap,0.2954545454545454,5
a few,0.15000000000000002,2
a few irons in the fire,0.22499999999999998,6
a fighting chance,0.375,3
a fine state of affairs,0.32499999999999996,5
a finger in every pie,0.525,5
a firm grip,0.375,3
a fish always rots from the head down,0.18181818181818182,8
a fish out of water,0.32499999999999996,5
a fish rots from the head down,0.375,7
a flash in the pan,0.42500000000000004,5
a fly in the ointment,0.4,5
a fly on the wall,0.2727272727272727,5
a fool and his money are soon parted,0.13636363636363635,8
a fool's paradise,0.22499999999999998,3
a foot in the door,0.4545454545454546,5
a foregone conclusion,0.35,3
a freak-out,0.42500000000000004,2
a friend in need is a friend indeed,0.4,8
a frog in one's throat,0.2,5
a frog in the throat,0.275,5
a further,0.36363636363636365,2
a gem of,0.475,3
a gentleman and a scholar,0.275,5
a getaway,0.5,2
a ghost of a chance,0.175,5
a go,0.5,2
a golden key can open any door,0.0,7
a goner,0.32499999999999996,2
a good,0.43181818181818177,2
a good beginning makes a good ending,0.22499999999999998,7
a good deal,0.3088235294117647,3
a good deal of,0.175,4
a good few,0.31818181818181823,3
a good man is hard to find,0.22727272727272718,7
a good many,0.5,3
a good sport,0.42500000000000004,3
a goof-off,0.25,2
a gray area,0.43181818181818177,3
a great deal,0.38636363636363635,3
a great deal of,0.2727272727272727,4
a great many,0.575,3
a grey area,0.5,3
a hair out of place,0.25,5
a handful,0.575,2
a handful of,0.375,3
a hang-up,0.375,2
a hard man is good to find,0.16666666666666669,7
a hard nut to crack,0.42500000000000004,5
a hard pill to swallow,0.15909090909090912,5
a heart-to-heart,0.22499999999999998,2
a heck of a lot,0.15000000000000002,5
a heel,0.7954545454545454,2
a hell of a lot,0.22499999999999998,5
a hiding to nothing,0.22499999999999998,4
a high-flyer,0.4,2
"a horse, a horse, my kingdom for a horse",0.23076923076923078,9
a hot potato,0.6818181818181818,3
a house divided against itself cannot stand,0.35,7
a house is not a home,0.22499999999999998,6
a house of cards,0.4,4
a house of ill repute,0.42500000000000004,5
a hundred times,0.575,3
a journey of a thousand miles begins with a single step,0.2,11
