prep,imag,is_regex,pos_adp,pos_nonadp,n_words
on top,1.0,0,NA,NA,2
aboard,0.9968678815489749,0,NA,NA,1
behind,0.9900341685649202,0,NA,NA,1
in between,0.9834851936218677,0,NA,NA,2
across from,0.976651480637813,0,NA,NA,2
close to,0.9743735763097948,0,NA,NA,2
beneath,0.9695330296127562,0,NA,NA,1
up,0.9615603644646923,0,NA,NA,1
underneath,0.9399202733485192,0,NA,NA,1
above,0.9111617312072893,0,NA,NA,1
backward(s)?,0.9066059225512528,1,NA,NA,1
between,0.8952164009111616,0,NA,NA,1
in front,0.8952164009111616,0,NA,NA,2
next to,0.880125284738041,0,NA,NA,2
under,0.835136674259681,0,NA,NA,1
below,0.8320045558086558,0,NA,NA,1
together,0.8268792710706149,0,NA,NA,1
down into,0.820615034168565,0,NA,NA,2
beside,0.800398633257403,0,NA,NA,1
forward(s)?,0.7927107061503416,1,NA,NA,1
nearby,0.782744874715262,0,NA,NA,1
over,0.7813211845102505,0,NA,NA,1
past,0.7753416856492026,0,NA,NA,1
up against,0.7730637813211844,0,NA,NA,2
inside,0.7670842824601366,0,NA,NA,1
outside,0.7670842824601366,0,0.7670842824601366,NA,1
down,0.7528473804100227,0,NA,NA,1
in back,0.7528473804100227,0,NA,NA,2
downward,0.7414578587699316,0,NA,NA,1
on,0.7369020501138951,0,0.7369020501138951,0.34481776765375854,1
among(s|st)?,0.6647209567198178,1,NA,NA,1
upward(s)?,0.7129840546697036,1,NA,NA,1
abroad,0.7052961275626424,0,NA,NA,1
across,0.692767653758542,0,NA,NA,1
back,0.6865034168564919,0,NA,NA,1
toward(s)?,0.684510250569476,1,NA,NA,1
near,0.6788154897494305,0,NA,NA,1
in,0.6674259681093394,0,NA,NA,1
apart,0.6560364464692483,0,NA,NA,1
onward(s)?,0.6306947608200454,1,NA,NA,1
ahead,0.6218678815489749,0,NA,NA,1
opposite,0.5911161731207287,0,NA,NA,1
alongside,0.5885535307517084,0,NA,NA,1
out,0.5820045558086558,0,NA,NA,1
through,0.5757403189066059,0,NA,NA,1
all over,0.5677676537585421,0,NA,NA,2
up to,0.5358769931662869,0,NA,NA,2
outward(s)?,0.5313211845102505,1,NA,NA,1
by,0.5307517084282459,0,NA,NA,1
sub\w+,0.5222095671981776,1,NA,NA,1
against,0.5056947608200455,0,NA,NA,1
with,0.5028473804100226,0,NA,NA,1
kitty-corner from,0.4681093394077448,0,NA,NA,2
inward(s)?,0.4530182232346241,1,NA,NA,1
along,0.4521640091116172,0,NA,NA,1
out from,0.447892938496583,0,NA,NA,2
beyond,0.44589977220956717,0,NA,NA,1
around,0.439635535307517,0,NA,NA,1
into,0.41856492027334846,0,NA,NA,1
away,0.39977220956719806,0,NA,NA,1
off,0.3920842824601366,0,NA,NA,1
over\w+,0.3684510250569475,1,NA,NA,1
within,0.3656036446469248,0,NA,NA,1
amid,0.3399772209567197,0,NA,NA,1
by way of,0.33257403189066054,0,NA,NA,3
before,0.32004555808656027,0,NA,NA,1
throughout,0.30637813211845094,0,NA,NA,1
from,0.3029612756264236,0,NA,NA,1
without,0.3029612756264236,0,NA,NA,1
onto,0.29726651480637806,0,NA,NA,1
since,0.2716400911161731,0,NA,NA,1
during,0.27107061503416846,0,NA,NA,1
at,0.2656605922551253,0,NA,NA,1
after,0.22722095671981768,0,NA,NA,1
upon,0.22722095671981768,0,NA,NA,1
inter\w+,0.22608200455580857,1,NA,NA,1
to,0.18906605922551248,0,0.18906605922551248,0.12642369020501135,1
via,0.18337129840546693,0,NA,NA,1
about,0.17397494305239178,0,NA,NA,1
for,0.17397494305239178,0,NA,NA,1
unto,0.15062642369020496,0,NA,NA,1
ago,0.09567198177676532,0,NA,NA,1
until,0.041002277904327984,0,NA,NA,1
of,0.0,0,NA,NA,1
