ngram,doc_freq,doc_freq_ratio
"('NOUN', 'det', 'DET')",19008,0.9504
"('ADP', 'pobj', 'NOUN')",18316,0.9158
"('VERB', 'punct', 'PUNCT')",18155,0.90775
"('VERB', 'prep', 'ADP')",16780,0.839
"('NOUN', 'amod', 'ADJ')",15757,0.78785
"('ADP', 'pobj', 'NOUN', 'det', 'DET')",15535,0.77675
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN')",15008,0.7504
"('NOUN', 'prep', 'ADP')",14251,0.71255
"('VERB', 'dobj', 'NOUN')",14226,0.7113
"('VERB', 'nsubj', 'PRON')",12583,0.62915
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",12379,0.61895
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'det', 'DET')",11717,0.58585
"('VERB', 'nsubj', 'NOUN')",11157,0.55785
"('VERB', 'aux', 'AUX')",10925,0.54625
"('VERB', 'advmod', 'ADV')",10924,0.5462
"('ADP', 'pobj', 'NOUN', 'amod', 'ADJ')",10301,0.51505
"('VERB', 'dobj', 'NOUN', 'det', 'DET')",10226,0.5113
"('VERB', 'cc', 'CCONJ')",9881,0.49405
"('NOUN', 'punct', 'PUNCT')",9556,0.4778
"('NOUN', 'poss', 'PRON')",9294,0.4647
"('VERB', 'conj', 'VERB')",8164,0.4082
"('NOUN', 'compound', 'NOUN')",8083,0.40415
"('ADP', 'pobj', 'NOUN', 'prep', 'ADP')",8017,0.40085
"('VERB', 'advcl', 'VERB')",7958,0.3979
"('VERB', 'nsubj', 'NOUN', 'det', 'DET')",7884,0.3942
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'det', 'DET')",7833,0.39165
"('AUX', 'punct', 'PUNCT')",7621,0.38105
"('ADP', 'pobj', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",6645,0.33225
"('VERB', 'aux', 'PART')",6626,0.3313
"('NOUN', 'cc', 'CCONJ')",6558,0.3279
"('VERB', 'dobj', 'PRON')",6416,0.3208
"('VERB', 'ccomp', 'VERB')",6312,0.3156
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'amod', 'ADJ')",6310,0.3155
"('AUX', 'nsubj', 'PRON')",6220,0.311
"('VERB', 'mark', 'SCONJ')",6181,0.30905
"('VERB', 'dobj', 'NOUN', 'amod', 'ADJ')",6093,0.30465
"('ADP', 'pobj', 'PRON')",5828,0.2914
"('NOUN', 'conj', 'NOUN')",5763,0.28815
"('VERB', 'nsubj', 'PROPN')",5659,0.28295
"('VERB', 'prep', 'ADP', 'pobj', 'NOUN', 'prep', 'ADP')",5564,0.2782
"('ADP', 'pobj', 'NOUN', 'poss', 'PRON')",5450,0.2725
"('PROPN', 'compound', 'PROPN')",5101,0.25505
"('ADP', 'pobj', 'PROPN')",5078,0.2539
"('AUX', 'acomp', 'ADJ')",5035,0.25175
"('VERB', 'auxpass', 'AUX')",5009,0.25045
"('VERB', 'dobj', 'NOUN', 'prep', 'ADP')",4929,0.24645
"('NOUN', 'prep', 'ADP', 'pobj', 'NOUN', 'amod', 'ADJ')",4907,0.24535
"('NOUN', 'acl', 'VERB')",4709,0.23545
"('NOUN', 'relcl', 'VERB')",4633,0.23165
"('ADP', 'pobj', 'NOUN', 'compound', 'NOUN')",4527,0.22635
"('VERB', 'xcomp', 'VERB')",4368,0.2184
"('VERB', 'conj', 'VERB', 'punct', 'PUNCT')",4125,0.20625
"('AUX', 'nsubj', 'NOUN')",4098,0.2049
"('NOUN', 'nummod', 'NUM')",3984,0.1992
"('AUX', 'attr', 'NOUN')",3934,0.1967
"('VERB', 'dobj', 'NOUN', 'prep', 'ADP', 'pobj', 'NOUN')",3920,0.196
"('VERB', 'prt', 'ADP')",3911,0.19555
"('VERB', 'ccomp', 'VERB', 'nsubj', 'PRON')",3908,0.1954
