ngram,doc_freq,doc_freq_ratio
"('NOUN', 'DET')",19020,0.951
"('ADP', 'NOUN')",18329,0.91645
"('VERB', 'PUNCT')",18155,0.90775
"('VERB', 'NOUN')",17833,0.89165
"('VERB', 'ADP')",17426,0.8713
"('NOUN', 'ADJ')",15895,0.79475
"('ADP', 'NOUN', 'DET')",15557,0.77785
"('VERB', 'ADP', 'NOUN')",15350,0.7675
"('VERB', 'VERB')",14589,0.72945
"('VERB', 'NOUN', 'DET')",14478,0.7239
"('NOUN', 'ADP')",14310,0.7155
"('VERB', 'PRON')",14019,0.70095
"('VERB', 'AUX')",13627,0.68135
"('NOUN', 'ADP', 'NOUN')",12387,0.61935
"('VERB', 'ADP', 'NOUN', 'DET')",12017,0.60085
"('NOUN', 'NOUN')",11972,0.5986
"('VERB', 'ADV')",11157,0.55785
"('NOUN', 'VERB')",10565,0.52825
"('ADP', 'NOUN', 'ADJ')",10406,0.5203
"('VERB', 'VERB', 'NOUN')",10273,0.51365
"('VERB', 'CCONJ')",9900,0.495
"('VERB', 'VERB', 'ADP')",9842,0.4921
"('NOUN', 'PRON')",9611,0.48055
"('NOUN', 'PUNCT')",9571,0.47855
"('VERB', 'NOUN', 'ADJ')",9401,0.47005
"('VERB', 'NOUN', 'ADP')",8352,0.4176
"('VERB', 'PART')",8245,0.41225
"('VERB', 'VERB', 'PRON')",8234,0.4117
"('ADP', 'NOUN', 'ADP')",8058,0.4029
"('VERB', 'SCONJ')",8025,0.40125
"('NOUN', 'ADP', 'NOUN', 'DET')",7846,0.3923
"('AUX', 'PUNCT')",7621,0.38105
"('VERB', 'VERB', 'ADP', 'NOUN')",7603,0.38015
"('VERB', 'PROPN')",7577,0.37885
"('ADP', 'NOUN', 'NOUN')",7438,0.3719
"('VERB', 'VERB', 'PUNCT')",7174,0.3587
"('VERB', 'VERB', 'NOUN', 'DET')",7045,0.35225
"('VERB', 'NOUN', 'ADP', 'NOUN')",6910,0.3455
"('VERB', 'VERB', 'AUX')",6800,0.34
"('AUX', 'NOUN')",6798,0.3399
"('VERB', 'ADP', 'NOUN', 'ADJ')",6719,0.33595
"('ADP', 'NOUN', 'ADP', 'NOUN')",6665,0.33325
"('NOUN', 'CCONJ')",6572,0.3286
"('AUX', 'PRON')",6451,0.32255
"('VERB', 'VERB', 'VERB')",6301,0.31505
"('VERB', 'NOUN', 'NOUN')",6154,0.3077
"('ADP', 'PRON')",5867,0.29335
"('VERB', 'ADP', 'NOUN', 'ADP')",5856,0.2928
"('VERB', 'VERB', 'SCONJ')",5766,0.2883
"('VERB', 'VERB', 'PART')",5736,0.2868
"('PROPN', 'PROPN')",5632,0.2816
