ngram,doc_freq,doc_freq_ratio,doc_freq_diff
be,9988,0.4994,0.0005999999999999894
is ,10025,0.50125,0.0012499999999999734
wa,9974,0.4987,0.0013000000000000234
om,9953,0.49765,0.0023500000000000187
 wi,9909,0.49545,0.0045499999999999985
at ,9901,0.49505,0.00495000000000001
co,10120,0.506,0.006000000000000005
el,9872,0.4936,0.006400000000000017
la,10131,0.50655,0.006549999999999945
ho,9812,0.4906,0.00940000000000002
ra,9727,0.48635,0.013649999999999995
ma,10278,0.5139,0.013900000000000023
on ,9711,0.48555,0.014450000000000018
li,10335,0.51675,0.016750000000000043
 n,9531,0.47655,0.023450000000000026
 to ,10581,0.52905,0.02905000000000002
 in ,10586,0.5293,0.029299999999999993
ur,9385,0.46925,0.03075
wi,10663,0.53315,0.03315000000000001
lo,9308,0.4654,0.03460000000000002
 g,10697,0.53485,0.03485000000000005
her,9297,0.46485,0.035150000000000015
un,9288,0.4644,0.03560000000000002
 e,9283,0.46415,0.03584999999999999
ce,9254,0.4627,0.0373
n t,9248,0.4624,0.03760000000000002
e s,9228,0.4614,0.03860000000000002
ch,9216,0.4608,0.03920000000000001
ta,9201,0.46005,0.039949999999999986
d t,9191,0.45955,0.040449999999999986
wh,9191,0.45955,0.040449999999999986
re ,9158,0.4579,0.042100000000000026
 ha,9152,0.4576,0.04239999999999999
ee,9147,0.45735,0.04265000000000002
l ,10938,0.5469,0.04690000000000005
si,9054,0.4527,0.04730000000000001
ri,10968,0.5484,0.0484
pe,8997,0.44985,0.05014999999999997
il,8978,0.4489,0.05109999999999998
ow,8961,0.44805,0.051949999999999996
 he,8927,0.44635,0.053649999999999975
et,8908,0.4454,0.05459999999999998
ac,8904,0.4452,0.054800000000000015
e t,8890,0.4445,0.055499999999999994
as ,8850,0.4425,0.057499999999999996
th ,8848,0.4424,0.057599999999999985
 be,8825,0.44125,0.058750000000000024
s a,8818,0.4409,0.059099999999999986
sh,8807,0.44035,0.05964999999999998
fo,8766,0.4383,0.06169999999999998
to ,11254,0.5627,0.06269999999999998
ut,8736,0.4368,0.06319999999999998
de,11278,0.5639,0.06389999999999996
ot,8699,0.43495,0.06505
 wa,8694,0.4347,0.06530000000000002
 r,11315,0.56575,0.06574999999999998
ti,11349,0.56745,0.06745000000000001
ca,8647,0.43235,0.06764999999999999
er ,11386,0.5693,0.06930000000000003
ai,8580,0.429,0.07100000000000001
ll,11432,0.5716,0.0716
 co,8538,0.4269,0.0731
we,8521,0.42605,0.07395000000000002
e a,8493,0.42465,0.07534999999999997
 wh,8462,0.4231,0.07690000000000002
di,8449,0.42245,0.07755000000000001
ad,8431,0.42155,0.07845000000000002
ith,8385,0.41925,0.08074999999999999
ly,8361,0.41805,0.08195000000000002
 of ,11654,0.5827,0.0827
of ,11713,0.58565,0.08565
nt,11719,0.58595,0.08594999999999997
