ngram,doc_freq,doc_freq_ratio
"('punct',)",19768,0.9884
"('prep',)",19309,0.96545
"('pobj',)",19226,0.9613
"('det',)",19220,0.961
"('prep', 'pobj')",19140,0.957
"('nsubj',)",18497,0.92485
"('amod',)",16561,0.82805
"('dobj',)",16269,0.81345
"('pobj', 'det')",16097,0.80485
"('prep', 'pobj', 'det')",15900,0.795
"('cc',)",15376,0.7688
"('conj',)",14627,0.73135
"('advmod',)",14168,0.7084
"('aux',)",13309,0.66545
"('compound',)",12021,0.60105
"('pobj', 'amod')",11136,0.5568
"('prep', 'pobj', 'amod')",10891,0.54455
"('dobj', 'det')",10705,0.53525
"('poss',)",10589,0.52945
"('nsubj', 'det')",10183,0.50915
"('advcl',)",10062,0.5031
"('pobj', 'prep')",8639,0.43195
"('ccomp',)",8561,0.42805
"('pobj', 'prep', 'pobj')",8443,0.42215
"('prep', 'pobj', 'prep')",8339,0.41695
"('prep', 'pobj', 'prep', 'pobj')",8150,0.4075
"('ccomp', 'nsubj')",7791,0.38955
"('mark',)",7396,0.3698
"('conj', 'punct')",6991,0.34955
"('dobj', 'amod')",6736,0.3368
"('pobj', 'compound')",6720,0.336
"('pobj', 'poss')",6575,0.32875
"('prep', 'pobj', 'compound')",6490,0.3245
"('prep', 'pobj', 'poss')",6423,0.32115
"('attr',)",6254,0.3127
"('conj', 'prep')",6196,0.3098
"('acomp',)",6062,0.3031
"('relcl',)",6049,0.30245
"('xcomp',)",5992,0.2996
"('conj', 'prep', 'pobj')",5858,0.2929
"('advcl', 'nsubj')",5582,0.2791
"('dobj', 'prep')",5506,0.2753
"('xcomp', 'aux')",5330,0.2665
"('dobj', 'prep', 'pobj')",5273,0.26365
"('acl',)",5203,0.26015
"('advcl', 'mark')",5186,0.2593
"('relcl', 'nsubj')",5155,0.25775
"('auxpass',)",5049,0.25245
"('conj', 'nsubj')",5044,0.2522
"('conj', 'dobj')",5000,0.25
"('neg',)",4934,0.2467
"('advcl', 'dobj')",4772,0.2386
"('pobj', 'prep', 'pobj', 'det')",4650,0.2325
"('nsubjpass',)",4573,0.22865
"('nsubj', 'amod')",4496,0.2248
"('nummod',)",4466,0.2233
"('advcl', 'prep')",4412,0.2206
"('pobj', 'punct')",4303,0.21515
"('npadvmod',)",4287,0.21435
"('nsubj', 'prep')",4203,0.21015
"('prt',)",4187,0.20935
"('nsubj', 'prep', 'pobj')",4107,0.20535
"('appos',)",4104,0.2052
"('prep', 'pobj', 'punct')",4097,0.20485
"('advcl', 'prep', 'pobj')",4095,0.20475
"('pobj', 'conj')",4025,0.20125
"('attr', 'det')",4021,0.20105
"('dobj', 'poss')",4016,0.2008
"('ccomp', 'aux')",3901,0.19505
"('pobj', 'cc')",3834,0.1917
"('dep',)",3737,0.18685
"('ccomp', 'dobj')",3736,0.1868
"('ccomp', 'punct')",3718,0.1859
"('prep', 'pobj', 'conj')",3704,0.1852
"('ccomp', 'prep')",3523,0.17615
"('prep', 'pobj', 'cc')",3515,0.17575
"('nsubj', 'compound')",3447,0.17235
"('conj', 'advmod')",3377,0.16885
"('advcl', 'advmod')",3295,0.16475
"('conj', 'prep', 'pobj', 'det')",3277,0.16385
"('ccomp', 'prep', 'pobj')",3225,0.16125
"('pcomp',)",3211,0.16055
"('prep', 'pcomp')",3125,0.15625
"('advcl', 'aux')",3115,0.15575
"('xcomp', 'dobj')",3101,0.15505
"('dobj', 'compound')",2987,0.14935
"('case',)",2940,0.147
"('nsubj', 'poss')",2897,0.14485
"('ccomp', 'advmod')",2897,0.14485
"('conj', 'det')",2855,0.14275
"('pobj', 'relcl')",2855,0.14275
"('acl', 'prep')",2777,0.13885
"('conj', 'conj')",2752,0.1376
"('conj', 'amod')",2745,0.13725
"('attr', 'amod')",2727,0.13635
"('poss', 'case')",2690,0.1345
"('prep', 'pobj', 'relcl')",2683,0.13415
"('conj', 'cc')",2659,0.13295
"('acl', 'prep', 'pobj')",2656,0.1328
"('nsubj', 'punct')",2644,0.1322
"('ccomp', 'mark')",2611,0.13055
"('punct', 'dep')",2596,0.1298
"('relcl', 'prep')",2568,0.1284
"('advmod', 'advmod')",2531,0.12655
"('pobj', 'relcl', 'nsubj')",2495,0.12475
"('relcl', 'dobj')",2486,0.1243
"('relcl', 'aux')",2485,0.12425
"('attr', 'prep')",2484,0.1242
"('dobj', 'punct')",2471,0.12355
"('pobj', 'prep', 'pobj', 'amod')",2446,0.1223
"('attr', 'prep', 'pobj')",2374,0.1187
"('conj', 'aux')",2343,0.11715
"('relcl', 'prep', 'pobj')",2340,0.117
"('prep', 'pobj', 'relcl', 'nsubj')",2325,0.11625
"('dobj', 'prep', 'pobj', 'det')",2282,0.1141
"('xcomp', 'prep')",2267,0.11335
"('advcl', 'prep', 'pobj', 'det')",2251,0.11255
"('advcl', 'dobj', 'det')",2237,0.11185
"('conj', 'dobj', 'det')",2213,0.11065
