ngram,doc_freq,doc_freq_ratio
"('NOUN', 'PUNCT')",18436,0.9218
"('DET', 'NOUN')",17786,0.8893
"('ADP', 'DET')",16445,0.82225
"('NOUN', 'ADP')",16205,0.81025
"('ADJ', 'NOUN')",15760,0.788
"('VERB', 'ADP')",14433,0.72165
"('ADP', 'DET', 'NOUN')",13524,0.6762
"('DET', 'ADJ')",12950,0.6475
"('PRON', 'VERB')",11697,0.58485
"('AUX', 'VERB')",11224,0.5612
"('DET', 'ADJ', 'NOUN')",11145,0.55725
"('VERB', 'DET')",11042,0.5521
"('PUNCT', 'PRON')",10903,0.54515
"('NOUN', 'ADP', 'DET')",10610,0.5305
"('DET', 'NOUN', 'ADP')",10580,0.529
"('PRON', 'AUX')",10458,0.5229
"('DET', 'NOUN', 'PUNCT')",10227,0.51135
"('NOUN', 'VERB')",10073,0.50365
"('ADP', 'PRON')",9868,0.4934
"('ADJ', 'NOUN', 'PUNCT')",9622,0.4811
"('ADP', 'NOUN')",9426,0.4713
"('PUNCT', 'CCONJ')",9276,0.4638
"('VERB', 'PRON')",9069,0.45345
"('PRON', 'NOUN')",8539,0.42695
"('PUNCT', 'VERB')",8306,0.4153
"('VERB', 'ADP', 'DET')",8298,0.4149
"('NOUN', 'NOUN')",8056,0.4028
"('NOUN', 'CCONJ')",7973,0.39865
"('ADP', 'DET', 'ADJ')",7943,0.39715
"('NOUN', 'AUX')",7905,0.39525
"('VERB', 'PUNCT')",7865,0.39325
"('VERB', 'DET', 'NOUN')",7818,0.3909
"('PART', 'VERB')",7671,0.38355
"('ADP', 'DET', 'NOUN', 'PUNCT')",7661,0.38305
"('NOUN', 'ADP', 'DET', 'NOUN')",7621,0.38105
"('PROPN', 'PUNCT')",7442,0.3721
"('ADJ', 'NOUN', 'ADP')",6998,0.3499
"('PUNCT', 'PRON', 'VERB')",6864,0.3432
"('ADV', 'PUNCT')",6752,0.3376
"('PUNCT', 'DET')",6715,0.33575
"('ADJ', 'PUNCT')",6688,0.3344
"('ADP', 'DET', 'ADJ', 'NOUN')",6531,0.32655
"('VERB', 'NOUN')",6363,0.31815
"('PUNCT', 'PUNCT')",6261,0.31305
"('PRON', 'PUNCT')",6257,0.31285
"('PUNCT', 'PRON', 'AUX')",6216,0.3108
"('PRON', 'AUX', 'VERB')",6070,0.3035
"('SCONJ', 'PRON')",6030,0.3015
"('NOUN', 'PUNCT', 'PRON')",5942,0.2971
"('VERB', 'ADP', 'DET', 'NOUN')",5880,0.294
"('PUNCT', 'ADP')",5792,0.2896
"('NOUN', 'ADP', 'NOUN')",5775,0.28875
"('ADP', 'DET', 'NOUN', 'ADP')",5676,0.2838
"('NOUN', 'PUNCT', 'CCONJ')",5566,0.2783
"('VERB', 'ADV')",5563,0.27815
"('DET', 'NOUN', 'ADP', 'DET')",5534,0.2767
"('AUX', 'VERB', 'ADP')",5417,0.27085
"('ADV', 'VERB')",5398,0.2699
"('PROPN', 'PROPN')",5280,0.264
"('PUNCT', 'PROPN')",5201,0.26005
"('ADP', 'ADJ')",5168,0.2584
"('CCONJ', 'VERB')",5068,0.2534
"('DET', 'ADJ', 'NOUN', 'PUNCT')",5013,0.25065
"('ADP', 'PRON', 'NOUN')",4995,0.24975
"('PUNCT', 'NOUN')",4956,0.2478
"('PUNCT', 'ADV')",4914,0.2457
"('NOUN', 'ADP', 'PRON')",4888,0.2444
"('PUNCT', 'DET', 'NOUN')",4856,0.2428
"('ADP', 'PROPN')",4684,0.2342
"('DET', 'NOUN', 'VERB')",4675,0.23375
"('AUX', 'ADV')",4630,0.2315
"('PRON', 'NOUN', 'PUNCT')",4619,0.23095
"('DET', 'ADJ', 'NOUN', 'ADP')",4602,0.2301
"('NOUN', 'PRON')",4594,0.2297
"('ADP', 'NOUN', 'PUNCT')",4593,0.22965
"('NOUN', 'VERB', 'ADP')",4536,0.2268
"('VERB', 'DET', 'ADJ')",4449,0.22245
"('NOUN', 'AUX', 'VERB')",4402,0.2201
"('CCONJ', 'PRON')",4401,0.22005
"('NOUN', 'PUNCT', 'VERB')",4320,0.216
"('VERB', 'PART')",4311,0.21555
"('NOUN', 'NOUN', 'PUNCT')",4238,0.2119
"('PUNCT', 'SCONJ')",4204,0.2102
"('ADV', 'ADP')",4198,0.2099
"('CCONJ', 'DET')",4152,0.2076
"('ADV', 'ADJ')",4145,0.20725
"('DET', 'NOUN', 'AUX')",4059,0.20295
"('NOUN', 'ADP', 'DET', 'ADJ')",4050,0.2025
"('NOUN', 'PUNCT', 'PUNCT')",4027,0.20135
"('PROPN', 'VERB')",3988,0.1994
"('AUX', 'PART')",3967,0.19835
"('NOUN', 'PUNCT', 'DET')",3957,0.19785
"('ADJ', 'ADP')",3946,0.1973
"('AUX', 'ADJ')",3882,0.1941
"('ADP', 'ADJ', 'NOUN')",3863,0.19315
"('VERB', 'ADP', 'PRON')",3824,0.1912
"('PRON', 'VERB', 'DET')",3817,0.19085
"('CCONJ', 'NOUN')",3805,0.19025
"('DET', 'NOUN', 'NOUN')",3792,0.1896
"('VERB', 'DET', 'NOUN', 'ADP')",3702,0.1851
"('VERB', 'ADJ')",3693,0.18465
"('PRON', 'VERB', 'PRON')",3671,0.18355
"('ADJ', 'NOUN', 'ADP', 'DET')",3650,0.1825
"('PRON', 'ADP')",3618,0.1809
