dataset_idx,example_idx,text,possible_scores,score
2,1309,"Three men, one wearing a white shirt and a cowboy hat, and another wearing a long-sleeve blue shirt, and the other in a long-sleeve black shirt are fist fighting each other.","[4, 3, 2]",3
2,228,A woman with a baseball cap on riding a bike while pulling a man sitting in a cart.,"[4, 3, 2]",3
2,51,A man wearing a black shirt smoothing out concrete in an urban area.,"[4, 3, 2]",3
2,563,The man is performing a trick on a snowboard high in the air.,"[4, 3, 2]",2
2,501,a fireman spraying water into the hood of small white car on a jack,"[4, 3, 2]",3
2,457,A group of people stand on a balcony near a colorful circus building.,"[4, 3, 2]",3
2,285,Two workers that are working on the side of a street in neon yellow vests.,"[4, 3, 2]",3
2,209,A little baby dressed in green and yellow wearing a bib cries.,"[4, 3, 2]",3
2,1385,four men in a van one man turned around giving peace sign to man behind him.,"[4, 3, 2]",4
2,1116,A woman motions to a child in a house as the people surrounding watch.,"[4, 3, 2]",2
2,178,"Three people enter a building with a handwritten sign that says "" Welcome Bikers. ""","[4, 3, 2]",3
2,1209,Two men wearing reflective vests walking on the side of the road.,"[4, 3, 2]",3
2,864,A man is on the roof of a building while he paints the outside window trim.,"[4, 3, 2]",3
2,65,A woman is balancing a big bowl of fruit in front of the ocean.,"[4, 3, 2]",4
2,61,The people are quietly listening while the story of the ice cabin was explained to them.,"[4, 3, 2]",2
2,191,A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line.,"[4, 3, 2]",4
2,447,A tired businessman takes a quick nap while riding the train.,"[4, 3, 2]",3
2,476,A gymnast is capture midair while vaulting over several steps.,"[4, 3, 2]",2
2,1034,A man in a purple shirt is about to talk to a man in a white shirt with suspenders.,"[4, 3, 2]",2
2,1232,Woman in white in foreground and a man slightly behind walking with a sign for John 's Pizza and Gyro in the background.,"[4, 3, 2]",3
2,54,Someone is standing on a long bridge with a cloudy blue sky in the background.,"[4, 3, 2]",4
2,1149,A woman carrying a mannequin is walking down the sidewalk and talking on a mobile phone.,"[4, 3, 2]",4
2,407,Two people with backpacks hike up a rocky dirt path next to a conifer tree.,"[4, 3, 2]",4
2,1466,A canoe in the distance on a lake as seen from another canoe.,"[4, 3, 2]",3
2,1330,"Eight young girls in a school gym are on mats, wearing gym clothes and practicing cheerleader moves while in the background are the backs of two more young girls, not on the mats, who are also practicing moves.","[4, 3, 2]",4
2,1436,Two young children are walking hand in hand on an outdoor path.,"[4, 3, 2]",3
2,859,A young boy jumping barefoot on a trampoline in his grassy backyard.,"[4, 3, 2]",4
2,451,A woman grilling a variety of different kinds of meats at a cookout.,"[4, 3, 2]",3
2,919,A person in a white shirt with blue stripes is holding a large bucket shaped object on the head.,"[4, 3, 2]",3
2,1206,Negros walk across a train track that stretches over dirt and garbage beside a row of poor shacks.,"[4, 3, 2]",4
2,569,A man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,"[4, 3, 2]",4
2,13,A man wearing a reflective vest and a hard hat holds a flag in the road,"[4, 3, 2]",3
2,326,A man wearing yellow and another man ride down a body of water in a wooden boat.,"[4, 3, 2]",3
2,1429,"Students taking study time to study, read paper or daydream at the window.","[4, 3, 2]",3
2,865,"A person wearing a red, white, and blue helmet sitting on a motorcycle.","[4, 3, 2]",3
2,696,Two children ride their tricycles on a sidewalk in front of a brightly painted wall.,"[4, 3, 2]",4
2,318,"A man with a mustache, sitting in a restaurant eating a meal.","[4, 3, 2]",3
2,440,A smiling man and a boy with a backpack on are walking on a sidewalk.,"[4, 3, 2]",3
2,689,A group of young people are standing and sitting around a table eating and drinking with one another.,"[4, 3, 2]",3
2,189,A woman wearing a blue helmet rides her bicycle in a parking lot.,"[4, 3, 2]",3
2,778,A river is winding through a wooded area that is heavily leaf covered.,"[4, 3, 2]",3
2,198,"A young man wearing a baseball cap brushes at the base of a statue of Jesus Christ, during the day.","[4, 3, 2]",4
2,735,Local African boy doing his daily work guiding the animals that are pulling a cart.,"[4, 3, 2]",3
2,704,Group of people watching a fountain in a city skyline with palm trees.,"[4, 3, 2]",4
2,1236,"A Lady in a Green and Black Jacket, and Blue pants, taking a Photos of a Horse.","[4, 3, 2]",3
2,541,A young boy wearing a name tag is running on a soccer field.,"[4, 3, 2]",3
2,88,A skier is overlooking the beautiful white snow covered landscape.,"[4, 3, 2]",3
2,1494,"Person in yellow shorts, gray shirt with logo jumping from bank into the water.","[4, 3, 2]",3
2,940,A woman is leaning on the chair and playing the electric guitar.,"[4, 3, 2]",3
2,1098,"People are waiting in line to order food, while others are walking away with their food.","[4, 3, 2]",3
3,63,Dirty kitchen with cleaning supplies placed allover the counters.,"[3, 2]",2
3,498,A bathroom with a large bathtub next to a sink and toilet.flying high in the sky with no floor.,"[3, 2]",3
3,472,"A bathroom with blue walls and a pink tub, toilet, and sink.","[3, 2]",3
3,193,A Dairy Queen sign on a major road advertising it's special.,"[3, 2]",2
3,40,A plethora of kites flying in the sky next to some mountains.,"[3, 2]",3
3,282,A kitchen with white cabinets and stainless steel oven and hood.,"[3, 2]",2
3,150,"The corner of a kitchen showing a dishwasher, sink and household items. ","[3, 2]",2
3,424,A catchup bottle sits on a table while a tv plays and a woman stands at a counter.,"[3, 2]",3
3,321,An old-fashioned kitchen with wooden walls and a cooking fireplace and a central preparation table and wooden chairs in its middle.,"[3, 2]",3
3,316,A young boy holding a skateboard behind his back at a skate shop.,"[3, 2]",3
3,453,There is a young man in a commercial kitchen opening the door of some culinary equipment. ,"[3, 2]",3
3,441,"City street with various vehicles and several traffic lights, mountains in the background","[3, 2]",3
3,185,A small bathroom with a sink and toilet underneath a window.,"[3, 2]",2
3,295,A kitchen with white kitchen appliances and white cupboards.,"[3, 2]",2
3,98,A young person with red and white face paint holds an umbrella.,"[3, 2]",3
3,360,a decorated kitchen with a potted plant and a metal frog on the wall,"[3, 2]",3
3,35,A restaurant kitchen with bowls and pans ready for the night.,"[3, 2]",2
3,23,This is a toaster with a green stem from a tree in front of it.,"[3, 2]",3
3,338,A man wearing surgical gloves with his arms on a toilet that is missing the top.,"[3, 2]",3
3,116,Kitchen ware sitting behind the counter top at a restaurant.,"[3, 2]",2
3,395,Two men stand by a parking meter talking with a jewelry store in the background.,"[3, 2]",3
3,148,An empty bathroom with a sink and toilette underneath a hand drying towel.,"[3, 2]",2
3,437,The eat-in kitchen and pot rack show the efficient use of the small space in this apartment.,"[3, 2]",2
3,119,"A kitchen with wooden drawers, table, chairs and stone counter tops.","[3, 2]",3
3,443,A bathroom with a black shower curtain next to a white toilet.,"[3, 2]",2
3,51,A young woman walking down the street while talking on her cell phone,"[3, 2]",3
3,194,A disorganized kitchen with missing appliances and cabinets.,"[3, 2]",2
3,142,Women walk by a person sitting on a public bench with a dog.,"[3, 2]",3
3,232,A young man standing in front of a bathroom sink with a mirror.,"[3, 2]",3
3,325,A man in a suit standing in front of a vintage U.S. Mail airplane.,"[3, 2]",3
3,427,a line of bathroom stalls with a colored floor and white toilets,"[3, 2]",2
3,186,A group of people well dressed standing around a kitchen with lots of food.,"[3, 2]",3
3,83,An older woman preparing to blow out the candle on her birthday cake standing besides an older man ,"[3, 2]",3
3,189,"A cyclist giving the ""thumbs up"" poses with his bicycle by a right of way sign at a park.","[3, 2]",3
3,181,Four people sitting on a ski lift going up a snowy mountain.,"[3, 2]",3
3,107,A bathroom with two sinks a bathtub and a shower with lots of lighting from the windows,"[3, 2]",3
3,343,A tennis player in the middle of a play with spectators in the background.,"[3, 2]",3
3,136,A man wearing plate armor and metal helmet while talking on a cell phone.,"[3, 2]",3
3,359,A motorcycle parked next to a walkway in front of a building.,"[3, 2]",3
3,479,Three men preparing food in a professional metallic kitchen.,"[3, 2]",3
3,349,A hipster standing in a dirty kitchen in front of a glass of alcohol.,"[3, 2]",3
3,331,"A bowl of fruit sitting on a table to include a banana, kiwi, apples, and oranges. ","[3, 2]",2
3,36,The top of a kitchen cabinet covered with brass pots and pans.,"[3, 2]",2
3,311,A black and white photo of two people holding hands in a city on a rainy day. ,"[3, 2]",3
3,87,The yellow flowers sits atop the counter in a clean bathroom.,"[3, 2]",3
3,273,A microwave on top of a refrigerator in a room with hardwood floors.,"[3, 2]",3
3,373,"Inside there is a small kitchen and couch, with clutter, viewed through a lens.","[3, 2]",3
3,125,"A small wood paneled bathroom with a sink, mirror and toilette.","[3, 2]",2
3,236,"A bathroom with a white sink, tub, toilet and wooden door opened.  ","[3, 2]",2
3,138,Bathroom pictures are seen decorated with frilly accessories.,"[3, 2]",2
4,473,cat in laundry basket on top of open wash machine the basket is starting to fall in with him,"[4, 3, 2, 1]",3
4,327,This is Monty sitting like a good boy in the kitchen while we make dinner.,"[4, 3, 2, 1]",3
4,352,marks in the beach sand made by a tractor that pulls the boats out of the water.,"[4, 3, 2, 1]",3
4,285,"Had to try a black and white with this. There's more. Po' Monkey's Lounge in Merigold, MS.","[4, 3, 2, 1]",1
4,112,"A crayfish, under a thin layer of ice in a creek in a small canyon near my house in Frosty Hollow, WV USA.","[4, 3, 2, 1]",4
4,350,Mahogany map table built in my home workshop. Showing book rest propped up.,"[4, 3, 2, 1]",3
4,166,"living room and kitchen levels, radius wall framing and bow window void in living room(upper deck)","[4, 3, 2, 1]",2
4,431,A lonely boat in the water off Bamboo island off the coast of Ao Nang Beach Thailand,"[4, 3, 2, 1]",3
4,393,Pool from 7th floor balcony ... yikes we're above the palm trees!,"[4, 3, 2, 1]",3
4,397,Unknown persons swimming in Lake Spafford. Not recommended if you want to live. This water is pretty nasty.,"[4, 3, 2, 1]",3
4,28,The pump house (second building in the background) and some other building next to it (in the foreground),"[4, 3, 2, 1]",2
4,117,"Close-up of stoic tree trunks reflected in water of creek inside Riley Park, Greenfield, IN.","[4, 3, 2, 1]",4
4,420,That's the bottom of the old smoke stack. It extends through the roof of the building into the water in the other pictures.,"[4, 3, 2, 1]",3
4,16,The day is over .. the big red sunball goes to sleep painting the sky in red,"[4, 3, 2, 1]",2
4,412,Pitcher plant in the hot house at the winter gardens in the Auckland Domain.,"[4, 3, 2, 1]",3
4,161,Blueberries turning blue from green in the butterfly garden at the Elkton Community Education Center.,"[4, 3, 2, 1]",3
4,205,"A beautiful pink flower inside the main conservatory at Longwood Gardens near Kennett Square, Pennsylvania","[4, 3, 2, 1]",3
4,137,Old castle in Srebrenik. Inside of the calstle view to the master tower,"[4, 3, 2, 1]",2
4,33,"Glass knobs in Stone Glass design for furniture knobs, dresser knobs, bathroom knobs, kitchen knobs and more. Custom sizes available by Uneek Glass Fusions.","[4, 3, 2, 1]",2
4,108,Trevor Basin & Pontcysyllte Aquaduct in anaglyph 3D red blue glasses to view,"[4, 3, 2, 1]",2
4,467,These are growing in a window box outside out kitchen. Ilove that the blossoms are also purple.,"[4, 3, 2, 1]",2
4,482,Do not wait for your ship to come inget in your boat and row out,"[4, 3, 2, 1]",1
4,290,"Sanding with ultra fine sand paper made by the Mona Lisa Company, the box awaits its final coat of polyurethane.","[4, 3, 2, 1]",2
4,448,Just through the wall from the kitchen garden with a view to the kitchen window for signals of 'tea's in the pot!',"[4, 3, 2, 1]",2
4,367,pics at camelia road house in New Bern after dad's funeral--June 2004,"[4, 3, 2, 1]",2
4,335,"Cut from my garden, in front of my kitchen window with the afternoon sun glowing through its silken petals.","[4, 3, 2, 1]",3
4,255,Plan is to replace the space above the stove with a space saver microwave oven.,"[4, 3, 2, 1]",2
4,202,I like the clarity of these buildings despite the low light. And the green glow of the street light under the trees.,"[4, 3, 2, 1]",3
4,452,Playing with long exposures in the back yard. The fog and street lamp make for eerie lighting.,"[4, 3, 2, 1]",3
4,468,We are looking over the building site where our future house is to be built...,"[4, 3, 2, 1]",2
4,329,"Behind the flower bench in front of our house on a late September evening, watching the clouds withdrawing.","[4, 3, 2, 1]",4
4,234,"Aspens, Mountains, and blue sky in the Colorado Rocky Mountains","[4, 3, 2, 1]",2
4,73,Old road and rail bridge over Kiel-Canal at Levensau (part of Kiel-Suchsdorf) built 1893,"[4, 3, 2, 1]",2
4,135,Guitar leaning on a tree on an island on O.S.A. lake in Killarney Provincial Park.,"[4, 3, 2, 1]",3
4,71,the boy was playing while his parents are away in the paddy field across the road. DSC_3597_1,"[4, 3, 2, 1]",3
4,126,"twee schildpadden in een grote vijver in het bos !! Gedumpt door een onverlaat, die er genoeg van had....","[4, 3, 2, 1]",1
4,381,She sits atop my lime green Christmas tree in my home office. The tree is decorated in pink and white.,"[4, 3, 2, 1]",3
4,287,"Taken near Bolton Priory, a forest walk upto the River Strid. The forest floor was covered in blue bells.","[4, 3, 2, 1]",3
4,275,Two little dickie birds sitting in a tree!I've added a blue filter to this to make the photo a bit more interesting.,"[4, 3, 2, 1]",3
4,134,a strange selection of objects found on the kitchen table in the morning,"[4, 3, 2, 1]",1
4,382,I was trying to get the sun exactly behind the cross and building when the bird flew in at the right time!,"[4, 3, 2, 1]",3
4,299,Yucca cactus in a rock garden with bunny ears cactus and purple prickly pear cactus in front of a dark red stucco wall.,"[4, 3, 2, 1]",4
4,219,On the Road to Hana you will find the beautiful arch formed near a black sand beach,"[4, 3, 2, 1]",3
4,459,There is nothing left in the building but these books were outside in the grass along with some other papers,"[4, 3, 2, 1]",3
4,298,well he did it saved $128.25 working on thngs around the house for his new bike,"[4, 3, 2, 1]",2
4,204,Two male Elephant Seals fight for dominance in the surf at a beach in San Simeon.,"[4, 3, 2, 1]",3
4,185,"Revolving doors and light sculpture in an office building on Victoria Street, London","[4, 3, 2, 1]",3
4,70,"View onto the lake at home in Finland with sky reflecting on water surface, I like the colour...","[4, 3, 2, 1]",3
4,260,Breakfast in our #kabul office :) u car order this everyday at the office before 10am. #fb,"[4, 3, 2, 1]",1
4,252,The internals. It was (obviously) a laptop in a previous life. The screen is 800x600 and has thousands of colors.,"[4, 3, 2, 1]",1
5,46,"The sequel to the TV movie entitled The Incident, a small-town lawyer, Harmon Cobb, and his family move to Baltimore where he becomes the law partner of his old adversary, where he goes against the State of Maryland, suing on behalf of an institutionalized mental patient for release.http://www.tcm.com/tcmdb/title.jsp?","[3, 2, 1, 0]",1
