segment_id	text	annotator_1	annotator_2	agreed_rating
1	“While he was still looking at me, but stealing side-glances at a doorway before which was draped a most wonderful curtain of a sort of flamingo colour, this curtain was suddenly pulled aside, and a girl came in.	3	4	3
2	These chances Wang Ho at first forecast by means of dreams, portents and other manifestations of an admittedly supernatural tendency, but as his name grew large and the number of his clients increased vastly, while his capacity for dreaming remained the same, he found it no less effective to close his eyes and to become inspired rapidly of numbers as they were thus revealed to him.	2	0	1
3	"“Now to business,” went on Mr. Blowitz, after a pause. “Did I understand you to say you had hired that large motor boat?”
“We have; for several weeks,” answered Jerry, who, by consent of Ned and Bob, had been elected spokesman."	1	1	1
4	"He turned over the pages rapidly and read aloud.


“Reginald Cyril Brott, born 18—, son of John Reginald Brott, Esq., of Manchester. Educated at Harrow and Merton College, Cambridge, M.A., LL.D., and winner of the Rudlock History Prize. Also tenth wrangler. Entered the diplomatic service on leaving college, and served as junior attache at Vienna.”"	2	2	2
5	The sun had hidden behind clouds all the latter part of that day, an unusual occurrence for that region even in winter.  And now, as the light waned suddenly, telling of the hidden sunset, a cold dry, penetrating wind sprang up and blew in Gale's face.  Not at first, but by imperceptible degrees it chilled him.  He untied his coat from the back of the saddle and put it on.  A few cold drops of rain touched his cheek.	4	4	4
6	We do not torture our criminals when we lynch them. We do not invite spectators to enjoy their death agony. We put no such hideous disgrace upon the United States. We execute our criminals by the swiftest means, and in the quietest way. Do you think the principle is the same?”	0	0	0
7	"“And personal experiences of your own, Colonel Wragge?” asked John Silence earnestly, his manner showing the greatest possible interest and sympathy.
The soldier gave an almost imperceptible start. He looked distinctly uncomfortable."	0	0	0
8	"The heavy clamour gradually died away, but before it had ceased Witherspoon had jumped to his feet, his hair and beard all on end, and had said—
“I move, as an amendment, that Comrade Syme be appointed to the post.”"	2	3	2
9	His face and stubby beard were dust-colored, and his eyes seemed sullen, watchful. He made Bostil think of a dusty, scaly, hard, desert rattlesnake. Bostil eyed this right-hand man of Cordts's and certainly felt no fear of him, though Sears had the fame of swift and deadly skill with a gun.	3	3	3
10	She was radiant, adorable, irresistible; I had to own that my first impression of her had been far too weak.	0	1	0
11	He laughed, “I take it you do not.” Becoming solemn again, he continued, “Our land, Daem is on the edge of ruin, and has been for all of my life and those of many generations before me.	0	1	0
12	"About half-past twelve Mr. Morton shut his own book with a slap, leaned back, and began to fill his pipe.
""Nothing seems very important,"" he said.
As the last uttered word had been spoken an hour previously, Laurie was bewildered, and looked it."	3	2	3
13	"""Can you fit us both into your dog-cart?""
""Yes, I can.""
""Then, Watson, we will postpone our breakfast.  Mr. Roundhay, we are entirely at your disposal.  Hurry--hurry, before things get disarranged."""	1	1	1
14	"“I am beginning to understand what there is about this coast which fascinated my father so,” he remarked.


“Are you?” she answered gravely. “Years ago I used to love it, but not now.”"	1	2	2
15	"""I don't know how to thank you."" She offered her hand; and one of those beautiful looks--generous, friendly, sincere--of which she had the secret.
He, too, flushed, his eyes held a moment by hers. Then he, somewhat brusquely, disengaged himself."	2	2	2
16	If not, please say so. The alternative is in the hands of the Crown. I am the Crown. The Crown may at any time confiscate property and banish malcontents and disturbers.	0	0	0
17	It’s a very old story—particularly in Wall Street. I thought it was easy; I was lucky at first; I would always be prudent—and so on. Then came the day when I went out of my depth.	0	0	0
18	They found the secret delicious. Then followed the devastating episode of Vaillac. Shortly afterwards Olive One and Vaillac were married, and then Olive Two was alone in the nice house.	1	0	1
19	They walked off together. Though she was evidently absent and distressed, Tavernake felt once more that sense of pleasant companionship which her near presence always brought him.	0	2	1
20	Interest drooped, however, when, after weeks of fruitless investigation, it was found that no final explanation of the facts was forthcoming, and the tragedy seemed from that time to the present to have finally taken its place in the dark catalogue of inexplicable and unexpiated crimes.	0	0	0
21	The hopelessness of her situation was dawning on her. Even when the touch of her beside him and the solitude of the country roads got in his blood, and he bent toward her, she found no encouragement in his words:—“I am mad about you to-night.”	0	2	2
22	Why was Sir Crichton Davey murdered?  Because, had the work he was engaged upon ever seen the light it would have shown him to be the only living Englishman who understood the importance of the Tibetan frontiers.	0	0	0
23	Jimmie Reeder untied the accusing knot in his scarf at just ten minutes past eight on a hot August morning after he had given one dime to his sister Sadie.	3	3	3
24	"breast-plate; the two others wear gilt trunk-hose; and they all
three have elegant, flapping hats like cavaliers.  As the
quarter approaches, they turn their heads and look knowingly one"	2	2	2
25	What else he wished was never known, for at that moment round the block of cane came a big man in biscuit-coloured taffetas followed by two negroes in cotton drawers who were armed with cutlasses. He was not ten yards away, but his approach over the soft, yielding marl had been unheard.	4	2	4
26	"Aynesworth laughed a little bitterly.


“You must excuse me,” he said, “but a sense of humor was always my undoing, and this reversal of our positions is a little odd, isn’t it? I am not going to marry Juliet Lundy because she happens not to care for me in that way at all. My appearance is scarcely that of a joyous lover, is it?”"	0	0	0
27	Angela was deliciously tired; and the long low hotel, built of logs, with a huge veranda, seemed to promise the welcome she wanted: a cool, clean room, a warm bath, and afterward luncheon. Also, she expected to find Kate. Nick had wired, or telephoned, she was uncertain which; and though no answer had been received, Kate's silence might no doubt be easily explained later. Angela felt confident that she would have precisely the room she pictured; she rather hoped it would be white and green.	3	4	4
28	Ruggedo, on his part, decided that he could, by careful watching and listening, surprise the boy's secret, and when he had learned the magic word he would transform Kiki Aru into a bundle of faggots and burn him up and so be rid of him.	3	0	0
29	"“Hello, what—what—what is it?” he asked, springing to his feet, his head swimming and smarting. “We had a row, didn't we? Did they hurt you? Oh, I remember; I got a cut over the head—one of their hatchet men. Did they hurt you?”


“They got the loot,” she growled. “Filthy vermin! And just to make everything pleasant, the schooner's sinking.”"	2	3	3
30	“Your information is very disturbing,” said the American. “I am the more disposed to credit your statement because I am all too painfully aware of the existence of such a group as you mention, in China, but that they had an agent here in England is something I had never conjectured. In seeking out this solitary residence I have unwittingly done much to assist their designs... But—my dear Mr. Smith, I am very remiss! Of course you will remain tonight, and I trust for some days to come?”	0	0	0
31	What I do know of fact, hard, positive fact, is this:—John Brake married a Mary Bewery at the parish church of Braden Medworth, near Barthorpe, in Leicestershire: I've seen the entry in the register with my own eyes.	0	2	1
32	"The Pollocks looked at each other.
""No,"" hesitated Jim, at last. ""But we're overstocked. Don't issue no such blanket permits next year. The range won't carry no more cattle than it always has."""	0	3	3
33	"jib, we ""frapped"" it round the opening where the bows had been, lashing it
securely in that position. Several hands were told off to jump into her
stern on the word, and all being ready we launched her again. The weight
of the chaps in her stern-sheets cocked her bows right out of water, and
in that position we towed her back to the ship, arriving safely before
dusk."	4	4	4
34	It is a distressing but entirely unavoidable fact, that if this person acts in the manner which he has determined upon, he will be condemned to the lowest place of torment reserved for those who fail at the end of an otherwise pure existence, and in this he will never have an opportunity of meeting the very much higher placed Ah-Ping, and of restoring to him the thirty-thousand taels as agreed upon.’	0	0	0
35	The steam from the volcanic blowholes swayed below us. Through its rifts we saw the tops of the buildings. Presently we made out Percy Darrow, dressed in overalls, his sleeves rolled back, and carrying a retort.	4	4	4
36	"""Here! What's this?"" cried Ned.
""We're going to hit it up in a few minutes,"" replied the young inventor, ""and I want to reduce the wind resistance.""
""Oh, I thought maybe we were going through a bombardment. It's all right, go ahead, don't mind me. I'm game."""	0	3	0
37	Sometimes they indulged in fanciful comparisons, trying to make their present state seem wholly blest.	0	0	0
38	"He paused.
“Very likely these Martians will make pets of some of them; train them to do tricks—who knows?—get sentimental over the pet boy who grew up and had to be killed. And some, maybe, they will train to hunt us.”"	0	0	0
39	Here this year they were again. Mrs. Le Page with her long neck, her beautiful pearl ear-rings, her pale watery eyes and her tapering fingers; Charlotte just as before, silent, beautiful and precious.	3	4	4
40	"wide, luminous curve, the Oise lay under the hillside.  A
faint mist began to rise and confound the different distances
together.  There was not a sound audible but that of the"	3	4	3
41	They swayed their heads and shoulders from side to side. The speaker’s words came thick and sloppy, and though I could hear them distinctly I could not distinguish what he said.	2	4	2
42	The jewel I have myself beheld three times stained, as it were, with the blood of my fellow-man, so that it now has so little value in my sight that I would not give a peppercorn to possess it.	2	4	2
43	"""I'm your man. Going to the Prairie Dog at night, in the summer, is a horse that's easy curried.""
The next evening Joel brought in Straw's herd. In the mean time the sick man had been cared for, and the passing wayfarer and his cattle made welcome and sped on their way. During the lay-over, Straw had lost his place in the overland march, two herds having passed him and crossed the Beaver."	3	1	3
44	Not the loss of his father, nor the wheat, nor the land, nor his ruined future! But it must be a loss, incalculable and insupportable, to his soul. His great ordeal had been the need, a terrible and incomprehensible need, to kill something intangible in himself.	1	1	1
45	"Miss Lore—His condition. Why not say he was “full” or “intoxicated”? It would sound much more elegant than the way you express it.
Mr. Penne (still darkly wandering)—Will you kindly point out, Miss Lore, where I have intimated that Cortland was “full,” if you prefer that word?"	0	0	0
46	"""I will bring him in a cab, if I have to carry him down to it."""	2	1	2
47	When the meal had been arranged the prisoners saw that there was enough for four people instead of two; and the soldiers realized this also, for they turned puzzled looks first on the tables and then on the prisoners.  Then they shook all their twin heads gravely and went away, locking the twin doors behind them.	3	3	3
48	“Oh!” said the Scarecrow, much relieved.	1	1	1
49	"Here he must tell his tale, and as he plodded on his relentless leader forced him to tell his tale anew.
Wade recognized this as his black mood. It was a morbid dominance of the mind. He fought it as he would have fought a devil. And mastery still was his. But his brow was clammy and his heart was leaden when he had wrested that somber, mystic control from his will."	0	3	1
